as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,0.09309286764929459,0.011456524146520326,0.019562762679450785,-0.008106238532930458,50,0.0392156862745098,"688520,600562,300757,002850,600392",{}
2025-07-11,2025-07-14,2025-07-18,0.029511014610478354,0.007896082751525204,0.012034187705188604,-0.0041381049536634,50,0.0392156862745098,"600606,301498,300100,002080,600282",{}
2025-07-18,2025-07-21,2025-07-25,0.05049817405972371,0.010427520943190978,0.03278586663737526,-0.02235834569418428,50,0.0392156862745098,"688166,301498,688336,688183,600562",{}
2025-07-25,2025-07-28,2025-08-01,0.05343183912472225,-0.010530608349002242,-0.013713588707584434,0.003182980358582192,50,0.0392156862745098,"688425,002130,600578,600901,603766",{}
2025-08-01,2025-08-04,2025-08-08,-0.02675939205174178,0.016769875391843984,0.017752363073398003,-0.0009824876815540187,50,0.0392156862745098,"688425,688336,688520,603766,603833",{}
2025-08-08,2025-08-11,2025-08-15,0.09106692615153497,0.057618575146484725,0.03875543607179566,0.01886313907468907,50,0.0392156862745098,"688266,002821,601399,300601,688183",{}
2025-08-15,2025-08-18,2025-08-22,0.11101033857366774,0.022465142010309545,0.03871116544392472,-0.016246023433615177,50,0.0392156862745098,"300570,002436,601598,600435,603228",{}
2025-08-22,2025-08-25,2025-08-29,0.07034861558645174,0.0648160544990877,0.032405094237053955,0.032410960262033744,50,0.0392156862745098,"002126,688220,600601,600143,002265",{}
2025-08-29,2025-09-01,2025-09-05,-0.1300885174508069,-0.05557666573952261,-0.01845401339193309,-0.03712265234758952,50,0.0392156862745098,"301200,600801,601696,688166,002265",{}
2025-09-05,2025-09-08,2025-09-12,-0.0025029932169090482,0.05438738579989839,0.033815098251318565,0.020572287548579822,50,0.0392156862745098,"002265,600967,688709,301200,600392",{}
2025-09-12,2025-09-15,2025-09-19,0.012515674427343545,0.026755942613955083,0.0031618345859654173,0.023594108027989665,50,0.0392156862745098,"688234,688778,002558,002429,300857",{}
2025-09-19,2025-09-22,2025-09-26,0.09447739301342328,0.010822519424089393,0.009840804122644542,0.000981715301444851,50,0.0392156862745098,"300073,002402,000034,002335,002436",{}
2025-09-26,2025-09-29,2025-10-13,0.17126681058788276,0.013009546210726664,0.018734244903714448,-0.005724698692987784,50,0.0392156862745098,"688166,300073,688248,688375,301308",{}
2025-10-13,2025-10-14,2025-10-20,0.09774303247747998,-0.056923349935828566,-0.041607854280122925,-0.015315495655705641,50,0.0392156862745098,"600737,603786,688166,600977,300115",{}
2025-10-20,2025-10-21,2025-10-27,-0.10977757590009303,0.06218764577740903,0.04381453032763627,0.018373115449772763,50,0.0392156862745098,"688349,688777,688608,688347,603688",{}
2025-10-27,2025-10-28,2025-11-03,-0.07248734200883118,-0.01753592743160694,-0.006205523109350297,-0.011330404322256644,50,0.0392156862745098,"601231,300748,300073,600143,601061",{}
2025-11-03,2025-11-04,2025-11-10,0.13401735381638488,0.004365857652115888,0.0013909946832395548,0.0029748629688763333,50,0.0392156862745098,"688336,002402,000831,688266,000021",{}
2025-11-10,2025-11-11,2025-11-17,0.005674605077774797,-0.01224514099245356,-0.014767691176859055,0.0025225501844054945,50,0.0392156862745098,"688336,300136,688629,688525,601608",{}
2025-11-17,2025-11-18,2025-11-24,-0.06691188477425175,-0.051985919751460836,-0.05063817912911195,-0.0013477406223488878,50,0.0392156862745098,"688608,688525,688676,601179,002517",{}
2025-11-24,2025-11-25,2025-12-01,-0.10140047217259865,0.048951253347713004,0.033901172316182615,0.01505008103153039,50,0.0392156862745098,"688266,300751,600884,601179,601865",{}
2025-12-01,2025-12-02,2025-12-08,0.08587973586615366,0.0034694735088189647,0.009931944320845654,-0.006462470812026689,50,0.0392156862745098,"600141,601061,600977,000830,603077",{}
2025-12-08,2025-12-09,2025-12-15,0.11864857394441772,-0.012725990722618765,-0.008143057933315379,-0.004582932789303386,50,0.0392156862745098,"300058,300223,688615,002353,300432",{}
2025-12-15,2025-12-16,2025-12-22,0.032968286137115124,0.016241462958772802,0.019918436449337218,-0.0036769734905644155,50,0.0392156862745098,"601399,300115,300570,688266,300757",{}
2025-12-22,2025-12-23,2025-12-29,0.007371275746764305,0.03566043248278739,0.02411275830003623,0.011547674182751162,50,0.0392156862745098,"301611,300570,601399,601106,600879",{}
2025-12-29,2025-12-30,2026-01-07,0.08231344549871948,0.09701553205062571,0.05981564110103954,0.03719989094958617,50,0.0392156862745098,"300207,300570,300058,300115,688629",{}
2026-01-07,2026-01-08,2026-01-14,0.14172074498391313,0.10465248247900208,0.04477604169708971,0.05987644078191237,50,0.0392156862745098,"300346,600879,688387,688037,003031",{}
2026-01-14,2026-01-15,2026-01-21,0.04445808723022416,0.018072439239835727,0.013663118610225844,0.004409320629609883,50,0.0392156862745098,"300346,688281,301200,688037,601061",{}
2026-01-21,2026-01-22,2026-01-28,0.12255350329015602,0.01402502166506511,0.03130065503908663,-0.017275633374021524,50,0.0392156862745098,"600498,002025,601106,688629,300346",{}
2026-01-28,2026-01-29,2026-02-04,0.06374621931347592,-0.027732343219349437,-0.0351239669421487,0.007391623722799261,50,0.0392156862745098,"002465,300136,002131,688375,688037",{}
2026-02-04,2026-02-05,2026-02-11,-0.1358304421769714,-0.0011494247757651785,0.0032237397574204074,-0.004373164533185586,50,0.0392156862745098,"688615,002517,002465,600637,002558",{}
2026-02-11,2026-02-12,2026-02-26,-0.15633867509169277,0.022516965008142816,0.027793688807012495,-0.005276723798869679,50,0.0392156862745098,"600879,002195,300017,688387,300136",{}
2026-02-26,2026-02-27,2026-03-05,0.07314880468474368,-0.028053728413656328,-0.028986647059043524,0.0009329186453871964,50,0.0392156862745098,"002008,001389,002155,600977,000039",{}
2026-03-05,2026-03-06,2026-03-12,0.13614154022518682,0.009856562388329748,0.006053672502347007,0.0038028898859827406,50,0.0392156862745098,"300751,603688,300136,300395,603000",{}
2026-03-12,2026-03-13,2026-03-19,-0.013022507852033688,-0.046387157015541705,-0.05770484068850279,0.011317683672961085,50,0.0392156862745098,"300136,603077,000738,688295,601991",{}
2026-03-19,2026-03-20,2026-03-26,-0.15367587491418083,-0.017126068944395053,-0.029828274146924794,0.01270220520252974,50,0.0392156862745098,"603979,601168,600392,000415,601233",{}
2026-03-26,2026-03-27,2026-04-02,-0.2059203895530949,0.0024396383877384703,-0.00482025299229405,0.00725989138003252,50,0.0392156862745098,"601615,600967,603688,688702,002155",{}
2026-04-02,2026-04-03,2026-04-10,-0.06497766222693005,0.053322652440656426,0.04787087098419485,0.00545178145646158,50,0.0392156862745098,"000657,688336,300763,000960,688281",{}
2026-04-10,2026-04-13,2026-04-17,0.06649802856146048,0.043942921859178426,0.03072126825663024,0.013221653602548185,50,0.0392156862745098,"300390,600707,002432,688295,601016",{}
