as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.018866658815706764,0.02333522554599975,0.019562762679450785,0.0037724628665489653,50,0.0392156862745098,"688702,300676,688349,688475,688295",{}
2025-07-11,2025-07-14,2025-07-18,0.08589320188705128,0.016515266945887917,0.012034187705188604,0.004481079240699314,50,0.0392156862745098,"688702,688375,688192,603786,688281",{}
2025-07-18,2025-07-21,2025-07-25,0.09268843334243577,0.04261267374522979,0.03278586663737526,0.00982680710785453,50,0.0392156862745098,"688525,688349,688520,688172,688100",{}
2025-07-25,2025-07-28,2025-08-01,0.10037618008798803,-0.01621830027433436,-0.013713588707584434,-0.0025047115667499245,50,0.0392156862745098,"601212,603179,600390,002080,688778",{}
2025-08-01,2025-08-04,2025-08-08,0.09935721425857229,0.020850802954067924,0.017752363073398003,0.0030984398806699204,50,0.0392156862745098,"600109,002939,601555,300699,600906",{}
2025-08-08,2025-08-11,2025-08-15,0.10368317160645445,0.08247966898966734,0.03875543607179566,0.04372423291787168,50,0.0392156862745098,"688018,002821,603688,688235,600927",{}
2025-08-15,2025-08-18,2025-08-22,0.0977992595422348,0.04187018552014259,0.03871116544392472,0.003159020076217871,50,0.0392156862745098,"300390,600763,603806,603160,600562",{}
2025-08-22,2025-08-25,2025-08-29,0.13726999648522306,0.015709834862531007,0.032405094237053955,-0.016695259374522948,50,0.0392156862745098,"300558,300390,688281,600435,002821",{}
2025-08-29,2025-09-01,2025-09-05,0.07717109452993659,-0.025551606891796218,-0.01845401339193309,-0.007097593499863129,50,0.0392156862745098,"688281,688615,600316,002414,688037",{}
2025-09-05,2025-09-08,2025-09-12,0.023043233934499852,0.028922654828395813,0.033815098251318565,-0.004892443422922752,50,0.0392156862745098,"688297,600498,300136,002465,600109",{}
2025-09-12,2025-09-15,2025-09-19,-0.017512305049617958,0.015321062519605935,0.0031618345859654173,0.012159227933640517,50,0.0392156862745098,"688361,002738,000034,688387,000887",{}
2025-09-19,2025-09-22,2025-09-26,0.05202385405407304,-0.003758341018713741,0.009840804122644542,-0.013599145141358283,50,0.0392156862745098,"600549,300136,688180,601608,300285",{}
2025-09-26,2025-09-29,2025-10-13,0.13727686395864844,0.017676337113769758,0.018734244903714448,-0.0010579077899446898,50,0.0392156862745098,"603228,002080,688322,001389,002436",{}
2025-10-13,2025-10-14,2025-10-20,0.09784403079411919,-0.04700653622788567,-0.041607854280122925,-0.005398681947762746,50,0.0392156862745098,"688322,002080,001389,003021,000034",{}
2025-10-20,2025-10-21,2025-10-27,-0.0537199663797134,0.05295123935855831,0.04381453032763627,0.009136709030922043,50,0.0392156862745098,"000021,603659,603596,000034,688166",{}
2025-10-27,2025-10-28,2025-11-03,-0.13629119246958246,0.005223160894435918,-0.006205523109350297,0.011428684003786216,50,0.0392156862745098,"600699,600143,688099,300037,600157",{}
2025-11-03,2025-11-04,2025-11-10,0.1055231944307529,-0.007967439262017902,0.0013909946832395548,-0.009358433945257457,50,0.0392156862745098,"000021,002126,002080,300567,600392",{}
2025-11-10,2025-11-11,2025-11-17,0.006648027702393429,-0.02203488632311561,-0.014767691176859055,-0.007267195146256556,50,0.0392156862745098,"001221,002837,002126,300679,000887",{}
2025-11-17,2025-11-18,2025-11-24,0.0016571891929210829,-0.04551316964668471,-0.05063817912911195,0.005125009482427237,50,0.0392156862745098,"001221,002126,002436,002683,601001",{}
2025-11-24,2025-11-25,2025-12-01,-0.05331814479966462,0.04334044820244153,0.033901172316182615,0.009439275886258917,50,0.0392156862745098,"301200,688525,300390,600516,002756",{}
2025-12-01,2025-12-02,2025-12-08,-0.07232695778349836,-0.0025518698989021363,0.009931944320845654,-0.01248381421974779,50,0.0392156862745098,"300339,300058,300037,002340,002312",{}
2025-12-08,2025-12-09,2025-12-15,-0.011689372089850597,-0.005104930798122367,-0.008143057933315379,0.003038127135193011,50,0.0392156862745098,"000958,688297,300140,000830,600546",{}
2025-12-15,2025-12-16,2025-12-22,0.0689432458316706,0.03498600147172512,0.019918436449337218,0.015067565022387902,50,0.0392156862745098,"000878,603699,600141,003022,002080",{}
2025-12-22,2025-12-23,2025-12-29,0.06602229155793025,0.0278352193455645,0.02411275830003623,0.0037224610455282685,50,0.0392156862745098,"002436,600848,600637,603160,002273",{}
2025-12-29,2025-12-30,2026-01-07,0.14213962599137395,0.0727601175697532,0.05981564110103954,0.012944476468713662,50,0.0392156862745098,"002273,600312,000400,603341,688728",{}
2026-01-07,2026-01-08,2026-01-14,0.22289226012453786,0.02236569311986377,0.04477604169708971,-0.022410348577225937,50,0.0392156862745098,"603650,002056,600312,002281,002080",{}
2026-01-14,2026-01-15,2026-01-21,0.11309576836117761,0.05493235895140707,0.013663118610225844,0.04126924034118123,50,0.0392156862745098,"603699,300395,002436,002080,002312",{}
2026-01-21,2026-01-22,2026-01-28,0.12786562315158453,0.05088031859941216,0.03130065503908663,0.019579663560325526,50,0.0392156862745098,"688318,002837,300395,000933,300496",{}
2026-01-28,2026-01-29,2026-02-04,0.11635464314933679,-0.04349997777938647,-0.0351239669421487,-0.008376010837237768,50,0.0392156862745098,"300115,688018,688318,603341,300496",{}
2026-02-04,2026-02-05,2026-02-11,-0.07776535761603119,0.022847431801489793,0.0032237397574204074,0.019623692044069385,50,0.0392156862745098,"688778,300748,688692,000831,002436",{}
2026-02-11,2026-02-12,2026-02-26,-0.13953634281996097,0.053291758256039864,0.027793688807012495,0.02549806944902737,50,0.0392156862745098,"002353,688361,002837,688629,003021",{}
2026-02-26,2026-02-27,2026-03-05,0.09839377044411741,-0.037718162842387784,-0.028986647059043524,-0.00873151578334426,50,0.0392156862745098,"688347,301308,688318,002738,300496",{}
2026-03-05,2026-03-06,2026-03-12,0.148317720703933,-0.00010491195044763233,0.006053672502347007,-0.006158584452794639,50,0.0392156862745098,"300223,300604,605358,002738,300496",{}
2026-03-12,2026-03-13,2026-03-19,-0.04345175902800454,-0.07186390845281455,-0.05770484068850279,-0.014159067764311764,50,0.0392156862745098,"600312,600141,688027,002851,600580",{}
2026-03-19,2026-03-20,2026-03-26,-0.08920550681455143,-0.04011474980120104,-0.029828274146924794,-0.010286475654276248,50,0.0392156862745098,"688347,688361,002558,605358,002517",{}
2026-03-26,2026-03-27,2026-04-02,-0.15846232653018197,-0.013726934933951319,-0.00482025299229405,-0.00890668194165727,50,0.0392156862745098,"688347,300037,301358,601179,300604",{}
2026-04-02,2026-04-03,2026-04-10,-0.08721689057194475,0.0814055939147157,0.04787087098419485,0.03353472293052086,50,0.0392156862745098,"688347,002353,000657,600673,601179",{}
2026-04-10,2026-04-13,2026-04-17,0.08133122694846602,0.05782562014118479,0.03072126825663024,0.027104351884554546,50,0.0392156862745098,"600673,300857,000657,002202,600549",{}
