as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,,0.015030086442998069,0.019562762679450785,-0.004532676236452716,50,0.0392156862745098,"688295,688702,301536,002126,688018",{}
2025-07-11,2025-07-14,2025-07-18,,0.013326736060402923,0.012034187705188604,0.001292548355214319,50,0.0392156862745098,"300857,002583,603766,300972,301536",{}
2025-07-18,2025-07-21,2025-07-25,,0.027995998728605177,0.03278586663737526,-0.004789867908770083,50,0.0392156862745098,"003035,688525,688336,300888,688183",{}
2025-07-25,2025-07-28,2025-08-01,,-0.012715470933778984,-0.013713588707584434,0.00099811777380545,50,0.0392156862745098,"688520,601399,688235,688425,688183",{}
2025-08-01,2025-08-04,2025-08-08,,0.0264567043617808,0.017752363073398003,0.008704341288382798,50,0.0392156862745098,"688166,688520,601212,600562,600927",{}
2025-08-08,2025-08-11,2025-08-15,,0.05809504757110306,0.03875543607179566,0.0193396114993074,50,0.0392156862745098,"688018,002821,688520,603688,600927",{}
2025-08-15,2025-08-18,2025-08-22,,0.0482573238677954,0.03871116544392472,0.00954615842387068,50,0.0392156862745098,"300390,688336,002153,600562,688778",{}
2025-08-22,2025-08-25,2025-08-29,,0.016009010224710307,0.032405094237053955,-0.01639608401234365,50,0.0392156862745098,"688281,688166,300390,300558,600977",{}
2025-08-29,2025-09-01,2025-09-05,,-0.011685535343257248,-0.01845401339193309,0.006768478048675841,50,0.0392156862745098,"688192,688561,600208,688281,600316",{}
2025-09-05,2025-09-08,2025-09-12,,0.05657860905531101,0.033815098251318565,0.022763510803992443,50,0.0392156862745098,"688297,002265,688322,002126,600208",{}
2025-09-12,2025-09-15,2025-09-19,,0.014338826393973193,0.0031618345859654173,0.011176991808007776,50,0.0392156862745098,"600095,002738,603920,001389,688166",{}
2025-09-19,2025-09-22,2025-09-26,,-0.0079875464530238,0.009840804122644542,-0.017828350575668343,50,0.0392156862745098,"688629,002821,688180,300601,002683",{}
2025-09-26,2025-09-29,2025-10-13,,0.0030232124276795185,0.018734244903714448,-0.01571103247603493,50,0.0392156862745098,"688166,603228,002080,688322,600967",{}
2025-10-13,2025-10-14,2025-10-20,,-0.04387473781768504,-0.041607854280122925,-0.002266883537562117,50,0.0392156862745098,"688322,603444,002126,002080,002436",{}
2025-10-20,2025-10-21,2025-10-27,,0.049047735217188054,0.04381453032763627,0.005233204889551785,50,0.0392156862745098,"002558,603920,002126,600601,603659",{}
2025-10-27,2025-10-28,2025-11-03,,0.0025168532292254016,-0.006205523109350297,0.0087223763385757,50,0.0392156862745098,"688122,002670,002202,603444,688220",{}
2025-11-03,2025-11-04,2025-11-10,,-0.013038781187983897,0.0013909946832395548,-0.014429775871223452,50,0.0392156862745098,"300390,002080,300136,688122,002837",{}
2025-11-10,2025-11-11,2025-11-17,,-0.015124035863493708,-0.014767691176859055,-0.0003563446866346534,50,0.0392156862745098,"001221,603228,300857,300136,300207",{}
2025-11-17,2025-11-18,2025-11-24,,-0.06758135841410999,-0.05063817912911195,-0.01694317928499804,50,0.0392156862745098,"688266,688608,301200,600517,300136",{}
