as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.10024175318947441,0.0102530550005456,0.019562762679450785,-0.009309707678905184,50,0.0392156862745098,"300888,301536,688702,002195,300972",{}
2025-07-11,2025-07-14,2025-07-18,0.07849303332608164,0.003184115224659446,0.012034187705188604,-0.008850072480529159,50,0.0392156862745098,"300142,300432,300529,300763,001286",{}
2025-07-18,2025-07-21,2025-07-25,-0.03136583963281338,0.021583380041512144,0.03278586663737526,-0.011202486595863117,50,0.0392156862745098,"600884,688248,600606,600863,600562",{}
2025-07-25,2025-07-28,2025-08-01,0.0041509817732946,-0.0038916491772646774,-0.013713588707584434,0.009821939530319757,50,0.0392156862745098,"600143,000967,600562,600673,002294",{}
2025-08-01,2025-08-04,2025-08-08,0.044233646120288565,0.020112749579318724,0.017752363073398003,0.002360386505920721,50,0.0392156862745098,"002130,600927,000426,000050,600562",{}
2025-08-08,2025-08-11,2025-08-15,0.07698554164127457,0.05407835815332393,0.03875543607179566,0.015322922081528273,50,0.0392156862745098,"603920,600927,688266,600521,300450",{}
2025-08-15,2025-08-18,2025-08-22,0.021962304963607626,0.03570225301315742,0.03871116544392472,-0.0030089124307672993,50,0.0392156862745098,"600521,300558,600873,600038,000426",{}
2025-08-22,2025-08-25,2025-08-29,0.04623750602059522,0.0435436977644277,0.032405094237053955,0.011138603527373746,50,0.0392156862745098,"600737,603920,600884,300677,688676",{}
2025-08-29,2025-09-01,2025-09-05,-0.05154114956774193,-0.00841324187303475,-0.01845401339193309,0.010040771518898338,50,0.0392156862745098,"300677,688166,603688,300100,601216",{}
2025-09-05,2025-09-08,2025-09-12,0.005062861901554298,0.041031722650267555,0.033815098251318565,0.00721662439894899,50,0.0392156862745098,"688322,002265,603486,600967,000032",{}
2025-09-12,2025-09-15,2025-09-19,-0.055181310790066926,0.005028678715338576,0.0031618345859654173,0.0018668441293731583,50,0.0392156862745098,"002126,603920,002939,002265,002080",{}
2025-09-19,2025-09-22,2025-09-26,0.12603377544223054,0.0017797879551728999,0.009840804122644542,-0.008061016167471641,50,0.0392156862745098,"688322,688702,688220,000831,300339",{}
2025-09-26,2025-09-29,2025-10-13,0.009196947169500936,0.024530931996797817,0.018734244903714448,0.005796687093083369,50,0.0392156862745098,"688538,688052,000921,002340,002738",{}
2025-10-13,2025-10-14,2025-10-20,0.009377458487502936,-0.0471781757234078,-0.041607854280122925,-0.005570321443284877,50,0.0392156862745098,"600673,603444,002436,002126,002558",{}
