as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.04177117999703344,0.00840340388772373,0.019562762679450785,-0.011159358791727055,50,0.0392156862745098,"688702,688295,688520,301536,300676",{}
2025-07-11,2025-07-14,2025-07-18,0.04640733748222755,0.020750999851351072,0.012034187705188604,0.008716812146162468,50,0.0392156862745098,"688183,688248,688375,688702,688100",{}
2025-07-18,2025-07-21,2025-07-25,0.049249548192990635,0.031119199234965575,0.03278586663737526,-0.0016666674024096856,50,0.0392156862745098,"003035,688525,688520,601231,688349",{}
2025-07-25,2025-07-28,2025-08-01,0.05212036377874398,-0.008385973042719664,-0.013713588707584434,0.00532761566486477,50,0.0392156862745098,"603179,688778,688425,000997,601212",{}
2025-08-01,2025-08-04,2025-08-08,0.07521350023010494,0.031109540734343525,0.017752363073398003,0.013357177660945522,50,0.0392156862745098,"688520,002130,600606,002056,601212",{}
2025-08-08,2025-08-11,2025-08-15,0.11508165156149826,0.07810015612263374,0.03875543607179566,0.03934472005083808,50,0.0392156862745098,"688018,002821,688615,688778,688235",{}
2025-08-15,2025-08-18,2025-08-22,0.08742545289513574,0.04608520231785785,0.03871116544392472,0.007374036873933128,50,0.0392156862745098,"688192,002294,300390,603806,300601",{}
2025-08-22,2025-08-25,2025-08-29,0.13077031786478083,0.04025110125596502,0.032405094237053955,0.007846007018911062,50,0.0392156862745098,"002265,600208,688281,688192,300558",{}
2025-08-29,2025-09-01,2025-09-05,0.08383414394168666,-0.0038755987804393374,-0.01845401339193309,0.014578414611493751,50,0.0392156862745098,"688192,688615,300450,002126,688281",{}
2025-09-05,2025-09-08,2025-09-12,0.054892876605752615,0.039683240748734076,0.033815098251318565,0.005868142497415511,50,0.0392156862745098,"600208,300570,002773,002265,603228",{}
2025-09-12,2025-09-15,2025-09-19,-0.001015293905805039,0.02777251910785855,0.0031618345859654173,0.024610684521893134,50,0.0392156862745098,"001389,603920,002130,002756,300677",{}
2025-09-19,2025-09-22,2025-09-26,0.06896780296939674,-0.01686282916166282,0.009840804122644542,-0.026703633284307363,50,0.0392156862745098,"688234,601099,688629,300763,002080",{}
2025-09-26,2025-09-29,2025-10-13,0.18165510315066305,0.0023325079859862685,0.018734244903714448,-0.01640173691772818,50,0.0392156862745098,"688166,603228,300763,002080,688322",{}
2025-10-13,2025-10-14,2025-10-20,0.12022993713540703,-0.05680986384277129,-0.041607854280122925,-0.015202009562648368,50,0.0392156862745098,"603228,002080,003021,603444,002436",{}
2025-10-20,2025-10-21,2025-10-27,-0.11247533473417703,0.07621266387623304,0.04381453032763627,0.032398133548596775,50,0.0392156862745098,"300073,603659,688772,002202,688525",{}
2025-10-27,2025-10-28,2025-11-03,-0.1932266735049578,-0.001911325595983203,-0.006205523109350297,0.004294197513367094,50,0.0392156862745098,"601162,603228,002008,002436,603087",{}
2025-11-03,2025-11-04,2025-11-10,0.08891926794833112,-0.005136402607592599,0.0013909946832395548,-0.006527397290832153,50,0.0392156862745098,"300390,688122,300136,688608,002126",{}
2025-11-10,2025-11-11,2025-11-17,-0.026944467042877368,-0.027729636617788,-0.014767691176859055,-0.012961945440928945,50,0.0392156862745098,"001221,002837,601611,002080,002126",{}
2025-11-17,2025-11-18,2025-11-24,0.04032241707281924,-0.059111048930838676,-0.05063817912911195,-0.008472869801726728,50,0.0392156862745098,"001221,301611,603290,002126,002155",{}
2025-11-24,2025-11-25,2025-12-01,-0.08270647566044041,0.04036999585144158,0.033901172316182615,0.006468823535258968,50,0.0392156862745098,"300390,300058,300223,601179,601061",{}
2025-12-01,2025-12-02,2025-12-08,-0.05469030242947104,0.005831627992131644,0.009931944320845654,-0.00410031632871401,50,0.0392156862745098,"600549,002202,300339,300718,300100",{}
2025-12-08,2025-12-09,2025-12-15,-0.03558642355023179,-0.005153035703228499,-0.008143057933315379,0.0029900222300868794,50,0.0392156862745098,"300751,002402,000830,600637,688361",{}
2025-12-15,2025-12-16,2025-12-22,0.09260985357019368,0.027259546125011157,0.019918436449337218,0.007341109675673939,50,0.0392156862745098,"300285,000878,002409,603699,601168",{}
2025-12-22,2025-12-23,2025-12-29,0.08407903291158396,0.037619358174944384,0.02411275830003623,0.013506599874908154,50,0.0392156862745098,"300285,688387,002436,000426,601168",{}
2025-12-29,2025-12-30,2026-01-07,0.16109805128340832,0.10238342143054205,0.05981564110103954,0.04256778032950251,50,0.0392156862745098,"300136,300285,000960,000426,601399",{}
2026-01-07,2026-01-08,2026-01-14,0.3064404377017317,0.041004116928350376,0.04477604169708971,-0.003771924768739332,50,0.0392156862745098,"688037,600312,601168,000878,002281",{}
2026-01-14,2026-01-15,2026-01-21,0.19489108895491944,0.034638966947723004,0.013663118610225844,0.02097584833749716,50,0.0392156862745098,"688281,688375,688318,688018,002281",{}
2026-01-21,2026-01-22,2026-01-28,0.1764601997396694,0.08616318596848019,0.03130065503908663,0.054862530929393555,50,0.0392156862745098,"688281,688375,002281,002837,688318",{}
2026-01-28,2026-01-29,2026-02-04,0.11477862091133302,-0.040938371841946826,-0.0351239669421487,-0.005814404899798127,50,0.0392156862745098,"688002,688018,000878,688318,688702",{}
2026-02-04,2026-02-05,2026-02-11,-0.12413510141413635,0.02435417379668232,0.0032237397574204074,0.021130434039261913,50,0.0392156862745098,"300677,002850,600580,688322,300115",{}
2026-02-11,2026-02-12,2026-02-26,-0.1791798158776967,0.04611664734236247,0.027793688807012495,0.018322958535349973,50,0.0392156862745098,"688361,605358,002409,002517,002739",{}
2026-02-26,2026-02-27,2026-03-05,0.07789860573197631,-0.04233987656358542,-0.028986647059043524,-0.013353229504541896,50,0.0392156862745098,"002851,605358,603920,688002,002738",{}
2026-03-05,2026-03-06,2026-03-12,0.16029184700052576,-0.015107607493423766,0.006053672502347007,-0.021161279995770773,50,0.0392156862745098,"300395,300604,605358,601179,688027",{}
2026-03-12,2026-03-13,2026-03-19,-0.0627060099406247,-0.08129041021748697,-0.05770484068850279,-0.023585569528984177,50,0.0392156862745098,"600312,603920,300604,003031,002261",{}
2026-03-19,2026-03-20,2026-03-26,-0.1570043742723147,-0.03067614129623278,-0.029828274146924794,-0.0008478671493079848,50,0.0392156862745098,"002607,688676,002558,300140,603659",{}
2026-03-26,2026-03-27,2026-04-02,-0.21217555865206914,-0.024282053601207745,-0.00482025299229405,-0.019461800608913695,50,0.0392156862745098,"300432,300037,000559,600673,688027",{}
2026-04-02,2026-04-03,2026-04-10,-0.11298135258982456,0.07020160050388183,0.04787087098419485,0.02233072951968698,50,0.0392156862745098,"600498,002607,688017,002126,300115",{}
2026-04-10,2026-04-13,2026-04-17,0.08290384467144361,0.0656376184520126,0.03072126825663024,0.03491635019538236,50,0.0392156862745098,"000657,600673,300567,603920,002756",{}
