as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.024275581049032997,0.011262502147887555,0.019562762679450785,-0.00830026053156323,50,0.0392156862745098,"688702,688295,688520,301536,688192",{}
2025-07-11,2025-07-14,2025-07-18,0.05237606152657893,0.01838657651769927,0.012034187705188604,0.006352388812510667,50,0.0392156862745098,"688183,688248,600606,688375,300972",{}
2025-07-18,2025-07-21,2025-07-25,0.050081547484699694,0.030949609130915236,0.03278586663737526,-0.001836257506460024,50,0.0392156862745098,"688520,688525,003035,688349,603341",{}
2025-07-25,2025-07-28,2025-08-01,0.05175701935352634,-0.009884988910330792,-0.013713588707584434,0.003828599797253642,50,0.0392156862745098,"688778,603179,688425,002130,601212",{}
2025-08-01,2025-08-04,2025-08-08,0.07667155324882545,0.027268037251484425,0.017752363073398003,0.009515674178086422,50,0.0392156862745098,"688520,688166,600562,601212,300857",{}
2025-08-08,2025-08-11,2025-08-15,0.11009339240129144,0.07166089163854221,0.03875543607179566,0.03290545556674655,50,0.0392156862745098,"688018,002821,603688,688235,600927",{}
2025-08-15,2025-08-18,2025-08-22,0.08455651344005276,0.046369873870403325,0.03871116544392472,0.007658708426478603,50,0.0392156862745098,"688192,603806,300390,688347,688220",{}
2025-08-22,2025-08-25,2025-08-29,0.1263003330993701,0.04159497657729191,0.032405094237053955,0.009189882340237952,50,0.0392156862745098,"002265,688192,600967,688281,300558",{}
2025-08-29,2025-09-01,2025-09-05,0.07715451811133824,0.0032170557191949518,-0.01845401339193309,0.02167106911112804,50,0.0392156862745098,"300450,688615,688676,688192,688281",{}
2025-09-05,2025-09-08,2025-09-12,0.050421112878274776,0.040841986127456396,0.033815098251318565,0.0070268878761378314,50,0.0392156862745098,"300570,600208,002265,600967,002126",{}
2025-09-12,2025-09-15,2025-09-19,-0.012246151506162508,0.02120484489347831,0.0031618345859654173,0.018043010307512892,50,0.0392156862745098,"603228,603920,002130,001389,002756",{}
2025-09-19,2025-09-22,2025-09-26,0.054283038810922085,-0.015717008077380922,0.009840804122644542,-0.025557812200025464,50,0.0392156862745098,"601099,688234,688629,300763,002265",{}
2025-09-26,2025-09-29,2025-10-13,0.17896129672201638,-0.002635389700965083,0.018734244903714448,-0.02136963460467953,50,0.0392156862745098,"688166,300763,603228,002080,688615",{}
2025-10-13,2025-10-14,2025-10-20,0.10997204514534906,-0.053542919541557404,-0.041607854280122925,-0.01193506526143448,50,0.0392156862745098,"603228,002080,002436,003021,688122",{}
2025-10-20,2025-10-21,2025-10-27,-0.11546100579366231,0.0723185195458967,0.04381453032763627,0.02850398921826043,50,0.0392156862745098,"300073,603659,002202,002156,688525",{}
2025-10-27,2025-10-28,2025-11-03,-0.1872394824748826,-0.008425043559551032,-0.006205523109350297,-0.002219520450200735,50,0.0392156862745098,"000519,000034,688220,601001,688349",{}
2025-11-03,2025-11-04,2025-11-10,0.07511712118226299,-0.014081017411542123,0.0013909946832395548,-0.015472012094781678,50,0.0392156862745098,"688122,300136,688608,002837,001389",{}
2025-11-10,2025-11-11,2025-11-17,-0.019935809293063825,-0.027150207786556007,-0.014767691176859055,-0.012382516609696952,50,0.0392156862745098,"002837,002080,002126,600392,000887",{}
2025-11-17,2025-11-18,2025-11-24,0.03009738410016273,-0.06237431782478649,-0.05063817912911195,-0.011736138695674539,50,0.0392156862745098,"001221,002126,301200,002155,601001",{}
2025-11-24,2025-11-25,2025-12-01,-0.06660314096601494,0.02827963993999856,0.033901172316182615,-0.005621532376184055,50,0.0392156862745098,"300058,300390,601611,000657,601061",{}
2025-12-01,2025-12-02,2025-12-08,-0.053843282209274236,0.005523733514110923,0.009931944320845654,-0.00440821080673473,50,0.0392156862745098,"300339,600549,002202,300100,688322",{}
2025-12-08,2025-12-09,2025-12-15,-0.03435220912034651,-0.00865907581923718,-0.008143057933315379,-0.0005160178859218018,50,0.0392156862745098,"688525,300058,002153,300037,000830",{}
2025-12-15,2025-12-16,2025-12-22,0.09698476555766011,0.026541280091739602,0.019918436449337218,0.0066228436424023845,50,0.0392156862745098,"300285,000878,601168,000426,002409",{}
2025-12-22,2025-12-23,2025-12-29,0.08129108942440072,0.03436071888696184,0.02411275830003623,0.010247960586925613,50,0.0392156862745098,"300285,688387,000426,002436,300058",{}
2025-12-29,2025-12-30,2026-01-07,0.14501178812219742,0.09720381754656408,0.05981564110103954,0.03738817644552454,50,0.0392156862745098,"300285,000960,000426,000878,601399",{}
2026-01-07,2026-01-08,2026-01-14,0.2806398260760149,0.04205902869615899,0.04477604169708971,-0.002717013000930718,50,0.0392156862745098,"601168,600312,002281,000878,002851",{}
2026-01-14,2026-01-15,2026-01-21,0.1868367258833108,0.038610384899791295,0.013663118610225844,0.02494726628956545,50,0.0392156862745098,"688281,688375,002281,688318,688018",{}
2026-01-21,2026-01-22,2026-01-28,0.16568127933531338,0.08398777586626026,0.03130065503908663,0.052687120827173625,50,0.0392156862745098,"688375,002281,688281,688318,688018",{}
2026-01-28,2026-01-29,2026-02-04,0.09891178538150858,-0.03498636474179324,-0.0351239669421487,0.00013760220035546195,50,0.0392156862745098,"688002,688018,688702,300115,600673",{}
2026-02-04,2026-02-05,2026-02-11,-0.11833370572977896,0.002266896912007439,0.0032237397574204074,-0.0009568428454129682,50,0.0392156862745098,"002126,688018,605358,002409,002738",{}
2026-02-11,2026-02-12,2026-02-26,-0.1731605638184015,0.04596266507872602,0.027793688807012495,0.018168976271713523,50,0.0392156862745098,"002340,688361,605358,002409,002517",{}
2026-02-26,2026-02-27,2026-03-05,0.07348549840459104,-0.04016279135993928,-0.028986647059043524,-0.011176144300895759,50,0.0392156862745098,"002851,688002,301308,688347,002738",{}
2026-03-05,2026-03-06,2026-03-12,0.16142158019183772,-0.014803323420781412,0.006053672502347007,-0.020856995923128417,50,0.0392156862745098,"300395,601179,300604,605358,002851",{}
2026-03-12,2026-03-13,2026-03-19,-0.05347267045279574,-0.07516775436258373,-0.05770484068850279,-0.01746291367408094,50,0.0392156862745098,"002261,300058,600312,300604,002353",{}
2026-03-19,2026-03-20,2026-03-26,-0.1517626565870699,-0.0315275478635021,-0.029828274146924794,-0.0016992737165773056,50,0.0392156862745098,"000657,002607,000400,603659,003021",{}
2026-03-26,2026-03-27,2026-04-02,-0.2029542729896454,-0.024088589853096178,-0.00482025299229405,-0.019268336860802128,50,0.0392156862745098,"688563,688347,300432,300037,600673",{}
2026-04-02,2026-04-03,2026-04-10,-0.10453674853346048,0.07727254996701044,0.04787087098419485,0.029401678982815593,50,0.0392156862745098,"000155,600498,002126,002353,300285",{}
2026-04-10,2026-04-13,2026-04-17,0.0632021023554353,0.07093135234049619,0.03072126825663024,0.04021008408386595,50,0.0392156862745098,"000657,600673,002756,603920,600549",{}
