as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.07251750441573494,0.004700461634233838,0.019562762679450785,-0.014862301045216946,50,0.0392156862745098,"688295,688702,688520,688192,688183",{}
2025-07-11,2025-07-14,2025-07-18,0.08219178931385288,0.007567145364790469,0.012034187705188604,-0.004467042340398135,50,0.0392156862745098,"688192,688248,688702,600884,688183",{}
2025-07-18,2025-07-21,2025-07-25,0.058072711163158396,0.030428027596643488,0.03278586663737526,-0.0023578390407317726,50,0.0392156862745098,"688525,003035,300888,601231,688520",{}
2025-07-25,2025-07-28,2025-08-01,0.05203972638853786,-0.007376105470707668,-0.013713588707584434,0.006337483236876766,50,0.0392156862745098,"688520,600487,688336,600927,688183",{}
2025-08-01,2025-08-04,2025-08-08,0.07731624605561911,0.03121415179930521,0.017752363073398003,0.013461788725907208,50,0.0392156862745098,"688166,688520,000629,600606,000657",{}
2025-08-08,2025-08-11,2025-08-15,0.11425562312780116,0.07196240741240464,0.03875543607179566,0.03320697134060899,50,0.0392156862745098,"688520,688266,688018,002821,688615",{}
2025-08-15,2025-08-18,2025-08-22,0.08976942768060112,0.03206063298255577,0.03871116544392472,-0.006650532461368951,50,0.0392156862745098,"688425,600528,688192,688166,688336",{}
2025-08-22,2025-08-25,2025-08-29,0.12365989631882619,0.04088229536143258,0.032405094237053955,0.008477201124378622,50,0.0392156862745098,"002265,688281,600967,002773,002837",{}
2025-08-29,2025-09-01,2025-09-05,0.06814778854472266,-0.0019091948893788842,-0.01845401339193309,0.016544818502554202,50,0.0392156862745098,"688192,688709,002126,688615,688676",{}
2025-09-05,2025-09-08,2025-09-12,0.06532580192481716,0.04580976966313376,0.033815098251318565,0.011994671411815198,50,0.0392156862745098,"002773,002265,600208,688297,300570",{}
2025-09-12,2025-09-15,2025-09-19,-0.02119088568036396,0.016130234344346052,0.0031618345859654173,0.012968399758380635,50,0.0392156862745098,"688213,000519,688017,688166,603920",{}
2025-09-19,2025-09-22,2025-09-26,0.06749417168310666,-0.006359919608815231,0.009840804122644542,-0.016200723731459775,50,0.0392156862745098,"688234,601099,300763,300115,688629",{}
2025-09-26,2025-09-29,2025-10-13,0.16255574084246235,-0.009239831797658542,0.018734244903714448,-0.027974076701372988,50,0.0392156862745098,"000559,300763,688234,688166,603228",{}
2025-10-13,2025-10-14,2025-10-20,0.11726384963317682,-0.043285058892182586,-0.041607854280122925,-0.0016772046120596615,50,0.0392156862745098,"603228,300857,601212,002080,600580",{}
2025-10-20,2025-10-21,2025-10-27,-0.13536049416389279,0.07045337112369161,0.04381453032763627,0.026638840796055344,50,0.0392156862745098,"002402,301200,605358,002156,300073",{}
2025-10-27,2025-10-28,2025-11-03,-0.14972346024089878,-0.0013986707658341522,-0.006205523109350297,0.004806852343516145,50,0.0392156862745098,"300972,605358,002202,300073,688469",{}
