as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.059964719333333874,0.0012237450883351509,0.019562762679450785,-0.018339017591115635,50,0.0392156862745098,"688295,688702,688183,688520,300972",{}
2025-07-11,2025-07-14,2025-07-18,0.060523997186655354,0.00811855860299974,0.012034187705188604,-0.003915629102188864,50,0.0392156862745098,"688183,688192,600927,300972,300140",{}
2025-07-18,2025-07-21,2025-07-25,0.04286430104161945,0.025199011916850072,0.03278586663737526,-0.007586854720525189,50,0.0392156862745098,"688525,600606,688375,688248,688100",{}
2025-07-25,2025-07-28,2025-08-01,0.06956480204201827,-0.013703222409081289,-0.013713588707584434,1.0366298503145313e-05,50,0.0392156862745098,"600801,688520,688349,002558,603444",{}
2025-08-01,2025-08-04,2025-08-08,0.09011496273287344,0.012575401674800781,0.017752363073398003,-0.005176961398597222,50,0.0392156862745098,"600606,688520,002130,688375,688336",{}
2025-08-08,2025-08-11,2025-08-15,0.08976613761246299,0.07185982933293493,0.03875543607179566,0.03310439326113927,50,0.0392156862745098,"688266,688520,600528,688018,688166",{}
2025-08-15,2025-08-18,2025-08-22,0.08137513071125074,0.029178964829062345,0.03871116544392472,-0.009532200614862377,50,0.0392156862745098,"688425,600528,600580,601699,688347",{}
2025-08-22,2025-08-25,2025-08-29,0.13570467379595363,0.03792562519204567,0.032405094237053955,0.005520530954991713,50,0.0392156862745098,"688192,600208,002265,600967,002837",{}
2025-08-29,2025-09-01,2025-09-05,0.08293365696472586,-0.015014393877825185,-0.01845401339193309,0.0034396195141079035,50,0.0392156862745098,"688192,300450,600208,688709,688676",{}
2025-09-05,2025-09-08,2025-09-12,0.0764148059775,0.05300414532308002,0.033815098251318565,0.01918904707176145,50,0.0392156862745098,"002126,002558,688235,688297,600208",{}
2025-09-12,2025-09-15,2025-09-19,0.01305586404958757,0.0161258845262615,0.0031618345859654173,0.012964049940296082,50,0.0392156862745098,"600601,600580,002265,002126,002080",{}
2025-09-19,2025-09-22,2025-09-26,0.08028955541219493,-0.016334444162808603,0.009840804122644542,-0.026175248285453145,50,0.0392156862745098,"300763,688629,688234,600673,002683",{}
2025-09-26,2025-09-29,2025-10-13,0.19271868528131844,-0.009016062562870013,0.018734244903714448,-0.02775030746658446,50,0.0392156862745098,"688234,300763,002080,000559,688166",{}
2025-10-13,2025-10-14,2025-10-20,0.14247261500030792,-0.057400608218209574,-0.041607854280122925,-0.01579275393808665,50,0.0392156862745098,"300432,603228,301308,002080,300857",{}
2025-10-20,2025-10-21,2025-10-27,-0.14912370773341385,0.04580762754739524,0.04381453032763627,0.001993097219758967,50,0.0392156862745098,"300450,600580,002402,300207,600143",{}
2025-10-27,2025-10-28,2025-11-03,-0.167103508623,-0.03331097211327429,-0.006205523109350297,-0.02710544900392399,50,0.0392156862745098,"688183,600580,000021,605358,688019",{}
2025-11-03,2025-11-04,2025-11-10,0.0685166851838163,-0.018882548091325654,0.0013909946832395548,-0.02027354277456521,50,0.0392156862745098,"688336,300136,002156,688525,601611",{}
2025-11-10,2025-11-11,2025-11-17,-0.03736845674421092,-0.008115445342370447,-0.014767691176859055,0.006652245834488608,50,0.0392156862745098,"001221,601179,300857,300136,000657",{}
2025-11-17,2025-11-18,2025-11-24,-0.0760047316478283,-0.051646682098194646,-0.05063817912911195,-0.0010085029690826974,50,0.0392156862745098,"600096,301200,688266,688778,600157",{}
2025-11-24,2025-11-25,2025-12-01,-0.08784864516520893,0.04937866258521303,0.033901172316182615,0.015477490269030413,50,0.0392156862745098,"300390,300058,301358,301308,688676",{}
2025-12-01,2025-12-02,2025-12-08,-0.0493290888673527,0.014329246647582703,0.009931944320845654,0.004397302326737049,50,0.0392156862745098,"300037,300058,300223,688525,000629",{}
2025-12-08,2025-12-09,2025-12-15,0.008571801016525441,0.0013857840777901488,-0.008143057933315379,0.009528842011105527,50,0.0392156862745098,"300751,000426,600096,002340,301200",{}
2025-12-15,2025-12-16,2025-12-22,0.039299505052994455,0.036604610305800686,0.019918436449337218,0.016686173856463468,50,0.0392156862745098,"300285,601231,000878,002837,300136",{}
2025-12-22,2025-12-23,2025-12-29,0.06642311548898626,0.03473724107783505,0.02411275830003623,0.010624482777798823,50,0.0392156862745098,"300285,300058,601168,002080,002436",{}
2025-12-29,2025-12-30,2026-01-07,0.12646802001367352,0.1088210463457304,0.05981564110103954,0.04900540524469085,50,0.0392156862745098,"300136,601399,301611,600118,000960",{}
2026-01-07,2026-01-08,2026-01-14,0.24893577395682084,0.06848929206288819,0.04477604169708971,0.02371325036579848,50,0.0392156862745098,"688037,300346,600879,002281,688172",{}
2026-01-14,2026-01-15,2026-01-21,0.1455265064706848,0.02316639712378682,0.013663118610225844,0.009503278513560975,50,0.0392156862745098,"688375,002281,688281,002837,688037",{}
2026-01-21,2026-01-22,2026-01-28,0.1563211553129959,0.08085750201469029,0.03130065503908663,0.049556846975603655,50,0.0392156862745098,"301200,002281,300604,300724,002130",{}
2026-01-28,2026-01-29,2026-02-04,0.11640793185878,-0.03139600474839131,-0.0351239669421487,0.0037279621937573865,50,0.0392156862745098,"300017,002195,300454,601179,688361",{}
2026-02-04,2026-02-05,2026-02-11,-0.12479836962653394,-0.022667293197766364,0.0032237397574204074,-0.02589103295518677,50,0.0392156862745098,"688281,300724,688599,002335,002409",{}
2026-02-11,2026-02-12,2026-02-26,-0.15801397100661982,0.05870324184741825,0.027793688807012495,0.030909553040405754,50,0.0392156862745098,"688702,688676,688234,688347,688599",{}
2026-02-26,2026-02-27,2026-03-05,0.06729762248209241,-0.04436178971129436,-0.028986647059043524,-0.015375142652250838,50,0.0392156862745098,"300395,300017,002738,002281,300454",{}
2026-03-05,2026-03-06,2026-03-12,0.14922169218348413,-0.014159566472961465,0.006053672502347007,-0.020213238975308474,50,0.0392156862745098,"600487,601179,300395,600549,002008",{}
2026-03-12,2026-03-13,2026-03-19,-0.08140547220930802,-0.06815862245237904,-0.05770484068850279,-0.01045378176387625,50,0.0392156862745098,"300058,002335,688520,000021,002195",{}
