as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.07251750441573494,-0.017499249680075043,0.019562762679450785,-0.03706201235952583,20,0.09523809523809523,"688295,688702,688520,688192,688183",{}
2025-07-11,2025-07-14,2025-07-18,0.08219178931385288,0.01724283176391244,0.012034187705188604,0.005208644058723837,20,0.09523809523809523,"688192,688248,688702,600884,688183",{}
2025-07-18,2025-07-21,2025-07-25,0.058072711163158396,0.03403366498613921,0.03278586663737526,0.0012477983487639496,20,0.09523809523809523,"688525,003035,300888,601231,688520",{}
2025-07-25,2025-07-28,2025-08-01,0.05203972638853786,-0.01598206316617835,-0.013713588707584434,-0.002268474458593916,20,0.09523809523809523,"688520,600487,688336,600927,688183",{}
2025-08-01,2025-08-04,2025-08-08,0.07731624605561911,0.03624059278416324,0.017752363073398003,0.01848822971076524,20,0.09523809523809523,"688166,688520,000629,600606,000657",{}
2025-08-08,2025-08-11,2025-08-15,0.11425562312780116,0.08518336868774397,0.03875543607179566,0.04642793261594831,20,0.09523809523809523,"688520,688266,688018,002821,688615",{}
2025-08-15,2025-08-18,2025-08-22,0.08976942768060112,0.016816169268484754,0.03871116544392472,-0.021894996175439968,20,0.09523809523809523,"688425,600528,688192,688166,688336",{}
2025-08-22,2025-08-25,2025-08-29,0.12365989631882619,0.03446132893493502,0.032405094237053955,0.0020562346978810625,20,0.09523809523809523,"002265,688281,600967,002773,002837",{}
2025-08-29,2025-09-01,2025-09-05,0.06814778854472266,0.017154267474923608,-0.01845401339193309,0.0356082808668567,20,0.09523809523809523,"688192,688709,002126,688615,688676",{}
2025-09-05,2025-09-08,2025-09-12,0.06532580192481716,0.041440530278000605,0.033815098251318565,0.00762543202668204,20,0.09523809523809523,"002773,002265,600208,688297,300570",{}
2025-09-12,2025-09-15,2025-09-19,-0.02119088568036396,0.027026393113946515,0.0031618345859654173,0.023864558527981097,20,0.09523809523809523,"688213,000519,688017,688166,603920",{}
2025-09-19,2025-09-22,2025-09-26,0.06749417168310666,-0.004244324624023394,0.009840804122644542,-0.014085128746667936,20,0.09523809523809523,"688234,601099,300763,300115,688629",{}
2025-09-26,2025-09-29,2025-10-13,0.16255574084246235,-0.029672049749093595,0.018734244903714448,-0.048406294652808046,20,0.09523809523809523,"000559,300763,688234,688166,603228",{}
2025-10-13,2025-10-14,2025-10-20,0.11726384963317682,-0.033489061658555364,-0.041607854280122925,0.008118792621567561,20,0.09523809523809523,"603228,300857,601212,002080,600580",{}
2025-10-20,2025-10-21,2025-10-27,-0.13536049416389279,0.10483542722542881,0.04381453032763627,0.06102089689779254,20,0.09523809523809523,"002402,301200,688019,688027,605358",{}
2025-10-27,2025-10-28,2025-11-03,-0.14972346024089878,-0.004423471489370673,-0.006205523109350297,0.0017820516199796238,20,0.09523809523809523,"300972,605358,002402,002409,000021",{}
