as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.07251750441573494,0.007780211543935849,0.019562762679450785,-0.011782551135514935,50,0.0392156862745098,"688295,688702,688520,688183,600562",{}
2025-07-11,2025-07-14,2025-07-18,0.08219178931385288,0.013720441322691682,0.012034187705188604,0.0016862536175030786,50,0.0392156862745098,"688248,688702,688192,688183,688375",{}
2025-07-18,2025-07-21,2025-07-25,0.058072711163158396,0.030119340906752456,0.03278586663737526,-0.0026665257306228048,50,0.0392156862745098,"688525,003035,688183,601231,002130",{}
2025-07-25,2025-07-28,2025-08-01,0.05203972638853786,-0.004584012636986123,-0.013713588707584434,0.009129576070598312,50,0.0392156862745098,"600487,600927,601399,688235,688425",{}
2025-08-01,2025-08-04,2025-08-08,0.07731624605561911,0.024139233514258195,0.017752363073398003,0.0063868704408601915,50,0.0392156862745098,"688166,688520,600606,000629,002130",{}
2025-08-08,2025-08-11,2025-08-15,0.11425562312780116,0.06308888240089489,0.03875543607179566,0.02433344632909923,50,0.0392156862745098,"688266,688615,002080,002821,600673",{}
2025-08-15,2025-08-18,2025-08-22,0.08976942768060112,0.038321516524556204,0.03871116544392472,-0.0003896489193685182,50,0.0392156862745098,"688425,600528,688192,688166,300601",{}
2025-08-22,2025-08-25,2025-08-29,0.12365989631882619,0.04961194273187706,0.032405094237053955,0.017206848494823103,50,0.0392156862745098,"688281,002265,002837,600208,600967",{}
2025-08-29,2025-09-01,2025-09-05,0.06814778854472266,-0.005957869644884816,-0.01845401339193309,0.012496143747048272,50,0.0392156862745098,"688709,688192,002126,688615,688676",{}
2025-09-05,2025-09-08,2025-09-12,0.06532580192481716,0.038622030345228035,0.033815098251318565,0.00480693209390947,50,0.0392156862745098,"002773,600208,002265,688322,002195",{}
2025-09-12,2025-09-15,2025-09-19,-0.02119088568036396,0.023911233439352083,0.0031618345859654173,0.020749398853386666,50,0.0392156862745098,"001221,688361,002130,603920,001389",{}
2025-09-19,2025-09-22,2025-09-26,0.06749417168310666,0.010624321556706612,0.009840804122644542,0.0007835174340620702,50,0.0392156862745098,"688234,601099,300115,688629,300763",{}
2025-09-26,2025-09-29,2025-10-13,0.16255574084246235,-0.00835098498206709,0.018734244903714448,-0.027085229885781537,50,0.0392156862745098,"000559,300763,688234,688166,300604",{}
2025-10-13,2025-10-14,2025-10-20,0.11726384963317682,-0.0389202853241104,-0.041607854280122925,0.0026875689560125274,50,0.0392156862745098,"603156,601212,603228,002080,300857",{}
2025-10-20,2025-10-21,2025-10-27,-0.13536049416389279,0.06201670701776444,0.04381453032763627,0.01820217669012817,50,0.0392156862745098,"002402,301200,688772,688027,300857",{}
2025-10-27,2025-10-28,2025-11-03,-0.14972346024089878,0.0004211749431663128,-0.006205523109350297,0.00662669805251661,50,0.0392156862745098,"300972,002402,601611,300751,688469",{}
2025-11-03,2025-11-04,2025-11-10,0.07958255852426176,-0.013467611733498953,0.0013909946832395548,-0.014858606416738508,50,0.0392156862745098,"001221,688525,300390,300136,688336",{}
2025-11-10,2025-11-11,2025-11-17,-0.021497536257676853,-0.02824045110885092,-0.014767691176859055,-0.013472759931991866,50,0.0392156862745098,"601179,603766,002402,603228,688525",{}
2025-11-17,2025-11-18,2025-11-24,-0.03492674521778771,-0.07954444791479562,-0.05063817912911195,-0.02890626878568367,50,0.0392156862745098,"688778,688266,301200,603659,002340",{}
2025-11-24,2025-11-25,2025-12-01,-0.1083063517333406,0.04059811415427976,0.033901172316182615,0.006696941838097145,50,0.0392156862745098,"300390,300058,688361,300207,000657",{}
2025-12-01,2025-12-02,2025-12-08,-0.07722612973283041,0.009266929680314154,0.009931944320845654,-0.0006650146405314996,50,0.0392156862745098,"300339,300058,000830,300390,300037",{}
2025-12-08,2025-12-09,2025-12-15,-0.005405730904265221,-0.009449294333910124,-0.008143057933315379,-0.0013062364005947454,50,0.0392156862745098,"003031,300223,002153,300058,300037",{}
2025-12-15,2025-12-16,2025-12-22,0.08621994200960653,0.0310735081630202,0.019918436449337218,0.011155071713682983,50,0.0392156862745098,"300390,300285,603650,002595,601118",{}
2025-12-22,2025-12-23,2025-12-29,0.07595758867217284,0.060651463369259424,0.02411275830003623,0.036538705069223194,50,0.0392156862745098,"300285,600118,002340,002402,688525",{}
2025-12-29,2025-12-30,2026-01-07,0.173784036545139,0.12891979988559085,0.05981564110103954,0.06910415878455131,50,0.0392156862745098,"300285,300136,300058,601231,000426",{}
2026-01-07,2026-01-08,2026-01-14,0.2835388816240355,0.07921593916248316,0.04477604169708971,0.03443989746539346,50,0.0392156862745098,"688037,601168,000426,002281,605358",{}
2026-01-14,2026-01-15,2026-01-21,0.172881804826165,0.013932117151669608,0.013663118610225844,0.0002689985414437643,50,0.0392156862745098,"688281,688375,002281,002430,688318",{}
2026-01-21,2026-01-22,2026-01-28,0.16836072397885207,0.053655827759047356,0.03130065503908663,0.022355172719960723,50,0.0392156862745098,"688281,688375,300223,002281,300604",{}
2026-01-28,2026-01-29,2026-02-04,0.12102600225470464,-0.03781488143272554,-0.0351239669421487,-0.0026909144905768387,50,0.0392156862745098,"688002,300346,688375,688702,000878",{}
2026-02-04,2026-02-05,2026-02-11,-0.12786649376017536,-0.00035506411098598374,0.0032237397574204074,-0.0035788038684063913,50,0.0392156862745098,"600879,000739,600378,688709,300724",{}
2026-02-11,2026-02-12,2026-02-26,-0.2111949254255589,0.024987465321855334,0.027793688807012495,-0.002806223485157161,50,0.0392156862745098,"688361,000415,002837,002851,000703",{}
2026-02-26,2026-02-27,2026-03-05,0.08021194164769616,-0.0393062312877767,-0.028986647059043524,-0.010319584228733178,50,0.0392156862745098,"688002,001221,002851,300454,688347",{}
2026-03-05,2026-03-06,2026-03-12,0.1574291690470544,-0.008536271470705613,0.006053672502347007,-0.01458994397305262,50,0.0392156862745098,"300395,300604,601179,300454,002851",{}
2026-03-12,2026-03-13,2026-03-19,-0.06698237124882331,-0.06234621927477546,-0.05770484068850279,-0.004641378586272671,50,0.0392156862745098,"300058,002261,300604,600312,603920",{}
2026-03-19,2026-03-20,2026-03-26,-0.16263343097702038,-0.0016070884079426374,-0.029828274146924794,0.028221185738982156,50,0.0392156862745098,"600032,603225,000703,000539,688617",{}
2026-03-26,2026-03-27,2026-04-02,-0.21941878253031483,-0.02478706174777862,-0.00482025299229405,-0.01996680875548457,50,0.0392156862745098,"688172,000703,688520,603606,300570",{}
2026-04-02,2026-04-03,2026-04-10,-0.10409428811680224,0.047974129967577724,0.04787087098419485,0.00010325898338287703,50,0.0392156862745098,"600563,688336,600299,301200,600580",{}
2026-04-10,2026-04-13,2026-04-17,0.08152102841714397,0.060650623854413895,0.03072126825663024,0.029929355597783654,50,0.0392156862745098,"688568,000830,300390,600673,002756",{}
