as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.05362180836091442,0.008907746464561267,0.019562762679450785,-0.010655016214889517,50,0.0392156862745098,"688520,688192,301536,002080,688702",{}
2025-07-11,2025-07-14,2025-07-18,0.07160438209998662,0.015381384167592426,0.012034187705188604,0.003347196462403822,50,0.0392156862745098,"688183,688349,688192,688375,688248",{}
2025-07-18,2025-07-21,2025-07-25,0.061340519206241964,0.03216717992525928,0.03278586663737526,-0.0006186867121159775,50,0.0392156862745098,"688525,000967,688100,688349,300454",{}
2025-07-25,2025-07-28,2025-08-01,0.07572057449764034,-0.004921936828068444,-0.013713588707584434,0.00879165187951599,50,0.0392156862745098,"688520,600927,688425,688183,688778",{}
2025-08-01,2025-08-04,2025-08-08,0.07810767697867452,0.023160511252356724,0.017752363073398003,0.005408148178958721,50,0.0392156862745098,"688520,688166,002130,300748,600927",{}
2025-08-08,2025-08-11,2025-08-15,0.10690778336160117,0.07775308824756647,0.03875543607179566,0.03899765217577081,50,0.0392156862745098,"688266,688018,688520,002821,600927",{}
2025-08-15,2025-08-18,2025-08-22,0.10186582835905254,0.03985485409010536,0.03871116544392472,0.0011436886461806406,50,0.0392156862745098,"688425,300390,300601,603806,688347",{}
2025-08-22,2025-08-25,2025-08-29,0.13517462129469002,0.04208817966829614,0.032405094237053955,0.009683085431242182,50,0.0392156862745098,"600967,002773,002837,300558,300390",{}
2025-08-29,2025-09-01,2025-09-05,0.07230278390408768,-0.0016559453417691941,-0.01845401339193309,0.016798068050163893,50,0.0392156862745098,"688615,300450,600208,688709,688281",{}
2025-09-05,2025-09-08,2025-09-12,0.060953679160006165,0.050072127118732865,0.033815098251318565,0.0162570288674143,50,0.0392156862745098,"002265,688297,001389,603228,002773",{}
2025-09-12,2025-09-15,2025-09-19,-0.049183824434255716,0.009869298159224237,0.0031618345859654173,0.006707463573258819,50,0.0392156862745098,"002138,600967,002265,688017,002558",{}
2025-09-19,2025-09-22,2025-09-26,0.06796507551340768,-0.0006264153830180146,0.009840804122644542,-0.010467219505662557,50,0.0392156862745098,"688234,601099,688629,300748,002821",{}
2025-09-26,2025-09-29,2025-10-13,0.17014541261208876,0.001174279023007002,0.018734244903714448,-0.017559965880707445,50,0.0392156862745098,"300763,688234,000559,002080,688166",{}
2025-10-13,2025-10-14,2025-10-20,0.11748143742133955,-0.04877660201114024,-0.041607854280122925,-0.007168747731017312,50,0.0392156862745098,"603228,601212,002080,300857,003021",{}
2025-10-20,2025-10-21,2025-10-27,-0.1397104497485127,0.07945471985640934,0.04381453032763627,0.03564018952877307,50,0.0392156862745098,"002402,000831,300073,688027,688525",{}
2025-10-27,2025-10-28,2025-11-03,-0.16507878165323267,-0.011485551810075897,-0.006205523109350297,-0.0052800287007256,50,0.0392156862745098,"601611,600699,688469,300751,300073",{}
2025-11-03,2025-11-04,2025-11-10,0.08343688990393913,-0.0048056794603706845,0.0013909946832395548,-0.006196674143610239,50,0.0392156862745098,"001221,000021,688122,688172,300136",{}
2025-11-10,2025-11-11,2025-11-17,-0.04073768027249325,-0.02423000211002804,-0.014767691176859055,-0.009462310933168985,50,0.0392156862745098,"601179,300857,002126,002837,002080",{}
2025-11-17,2025-11-18,2025-11-24,-0.15014649928672372,-0.06610373523191569,-0.05063817912911195,-0.015465556102803743,50,0.0392156862745098,"688266,300037,002837,002851,300857",{}
2025-11-24,2025-11-25,2025-12-01,-0.1068074833935484,0.0504628050211566,0.033901172316182615,0.01656163270497398,50,0.0392156862745098,"688525,300390,601611,600516,300223",{}
2025-12-01,2025-12-02,2025-12-08,0.007050662013123529,0.007634557077141921,0.009931944320845654,-0.002297387243703733,50,0.0392156862745098,"300037,000629,603659,002683,688599",{}
2025-12-08,2025-12-09,2025-12-15,0.03288517870361287,-0.006956874240222197,-0.008143057933315379,0.0011861836930931813,50,0.0392156862745098,"002402,300037,000426,600988,002436",{}
2025-12-15,2025-12-16,2025-12-22,0.07081866084685318,0.033755631676208694,0.019918436449337218,0.013837195226871477,50,0.0392156862745098,"601168,000426,000878,600637,600549",{}
2025-12-22,2025-12-23,2025-12-29,0.09143125814159936,0.050136474591468735,0.02411275830003623,0.026023716291432505,50,0.0392156862745098,"000878,300285,601168,300136,002436",{}
2025-12-29,2025-12-30,2026-01-07,0.1513996755636684,0.10563088622710885,0.05981564110103954,0.04581524512606931,50,0.0392156862745098,"300136,000878,000960,000426,000703",{}
2026-01-07,2026-01-08,2026-01-14,0.28043447743387506,0.04944059047400799,0.04477604169708971,0.004664548776918284,50,0.0392156862745098,"688037,002436,688318,600312,300285",{}
