as_of,eval_start,eval_end,val_ic,portfolio_return,benchmark_return,excess_return,n_holdings,max_weight,top_5,diagnostics
2025-07-04,2025-07-07,2025-07-11,-0.034726112306093904,0.01583045546802437,0.019562762679450785,-0.0037323072114264152,50,0.0392156862745098,"688520,688192,301536,688336,002080",{}
2025-07-11,2025-07-14,2025-07-18,0.06101697488612039,0.02223414219878502,0.012034187705188604,0.010199954493596418,50,0.0392156862745098,"600562,688183,002281,688349,002583",{}
2025-07-18,2025-07-21,2025-07-25,0.06460832724932553,0.02997680531802337,0.03278586663737526,-0.0028090613193518903,50,0.0392156862745098,"688525,603486,002558,688100,688819",{}
2025-07-25,2025-07-28,2025-08-01,0.09940142260674283,-0.0071903270368001895,-0.013713588707584434,0.006523261670784245,50,0.0392156862745098,"688520,688425,002558,600606,600927",{}
2025-08-01,2025-08-04,2025-08-08,0.07889910790172994,0.02494189251392393,0.017752363073398003,0.007189529440525928,50,0.0392156862745098,"688425,002130,688520,600927,688166",{}
2025-08-08,2025-08-11,2025-08-15,0.09955994359540118,0.07852006627373495,0.03875543607179566,0.039764630201939294,50,0.0392156862745098,"688018,688266,002410,600927,688520",{}
2025-08-15,2025-08-18,2025-08-22,0.11396222903750397,0.050694544695967174,0.03871116544392472,0.011983379252042452,50,0.0392156862745098,"688425,300390,688347,601699,688702",{}
2025-08-22,2025-08-25,2025-08-29,0.14668934627055383,0.03627701514938021,0.032405094237053955,0.003871920912326257,50,0.0392156862745098,"600967,002126,002080,688778,301200",{}
2025-08-29,2025-09-01,2025-09-05,0.07645777926345271,-0.011922247015828329,-0.01845401339193309,0.00653176637610476,50,0.0392156862745098,"300570,600208,688281,688166,688615",{}
2025-09-05,2025-09-08,2025-09-12,0.05658155639519517,0.04396600488907418,0.033815098251318565,0.010150906637755613,50,0.0392156862745098,"688297,002265,001389,600498,002281",{}
2025-09-12,2025-09-15,2025-09-19,-0.07717676318814747,0.014413175020543527,0.0031618345859654173,0.01125134043457811,50,0.0392156862745098,"002138,600673,300395,300570,002558",{}
2025-09-19,2025-09-22,2025-09-26,0.0684359793437087,-0.0031658089071928963,0.009840804122644542,-0.013006613029837438,50,0.0392156862745098,"688234,688295,002821,688629,601099",{}
2025-09-26,2025-09-29,2025-10-13,0.1777350843817152,0.004933055313150461,0.018734244903714448,-0.013801189590563987,50,0.0392156862745098,"300763,688234,688615,002080,000559",{}
2025-10-13,2025-10-14,2025-10-20,0.11769902520950229,-0.04703681557449741,-0.041607854280122925,-0.005428961294374486,50,0.0392156862745098,"601212,603228,002080,003021,688322",{}
2025-10-20,2025-10-21,2025-10-27,-0.14406040533313266,0.06741296550738173,0.04381453032763627,0.023598435179745456,50,0.0392156862745098,"688582,301536,688234,688183,300432",{}
2025-10-27,2025-10-28,2025-11-03,-0.18043410306556656,-0.014151003072012365,-0.006205523109350297,-0.007945479962662068,50,0.0392156862745098,"601611,601212,002335,600126,600536",{}
2025-11-03,2025-11-04,2025-11-10,0.0872912212836165,-0.004128980162817083,0.0013909946832395548,-0.0055199748460566375,50,0.0392156862745098,"688122,688172,000021,001221,002837",{}
2025-11-10,2025-11-11,2025-11-17,-0.05997782428730965,-0.027354836290961138,-0.014767691176859055,-0.012587145114102083,50,0.0392156862745098,"002837,688608,002126,003021,300857",{}
2025-11-17,2025-11-18,2025-11-24,-0.2653662533556597,-0.05878811891351711,-0.05063817912911195,-0.00814993978440516,50,0.0392156862745098,"300857,688027,601608,000657,688361",{}
2025-11-24,2025-11-25,2025-12-01,-0.10530861505375617,0.0543822298141907,0.033901172316182615,0.020481057498008083,50,0.0392156862745098,"688525,688347,300604,300432,300857",{}
2025-12-01,2025-12-02,2025-12-08,0.09132745375907747,0.0160023889983174,0.009931944320845654,0.006070444677471747,50,0.0392156862745098,"600141,300570,688608,301308,300450",{}
2025-12-08,2025-12-09,2025-12-15,0.07117608831149096,-0.001105607229215686,-0.008143057933315379,0.007037450704099692,50,0.0392156862745098,"002402,300073,000426,002138,688099",{}
2025-12-15,2025-12-16,2025-12-22,0.055417379684099835,0.030335589383415757,0.019918436449337218,0.01041715293407854,50,0.0392156862745098,"601168,600637,000426,002409,600498",{}
2025-12-22,2025-12-23,2025-12-29,0.10690492761102588,0.043708060007429404,0.02411275830003623,0.019595301707393174,50,0.0392156862745098,"000878,603650,002273,601168,301358",{}
2025-12-29,2025-12-30,2026-01-07,0.12901531458219778,0.09440675837873892,0.05981564110103954,0.03459111727769938,50,0.0392156862745098,"000878,300136,000960,601399,000703",{}
